land_type,county,year,region,number,average_area,total_volume_eur,price_min,price_max,price_per_unit_min,price_per_unit_max,price_per_unit_median,avg_price_eur,standard_deviation
Farmland,Jõgeva maakond,2000,Jõgeva vald,6,16.5,17957,1150,9661,85.22,253.17,189.46,174.93,60.92
Farmland,Jõgeva maakond,2000,Põltsamaa vald,8,19.6,23456,652,10545,71.2,314.23,136.66,168.62,101.54
Farmland,Järva maakond,2000,Järva vald,9,14.6,35966,767,18534,63.91,383.47,287.6,241.32,116.73
Farmland,Järva maakond,2000,Paide linn,6,21.2,24478,1310,5720,125.13,375.83,212.96,222.16,89.59
Farmland,Järva maakond,2000,Türi vald,33,25.8,201334,543,16617,98.47,467.65,251.41,272.8,96.79
Farmland,Lääne-Viru maakond,2000,Rakvere vald,5,25.2,29948,895,14538,100.91,296.7,215.56,217.47,79.29
Farmland,Lääne-Viru maakond,2000,Vinni vald,14,20.0,53830,819,9587,82.19,909.56,174.72,221.4,204.72
Farmland,Lääne-Viru maakond,2000,Väike-Maarja vald,6,13.5,22375,997,6391,236.01,434.35,265.06,294.49,74.74
Farmland,Põlva maakond,2000,Põlva vald,7,11.4,18816,767,9587,65.22,468.1,191.74,206.0,126.18
Farmland,Põlva maakond,2000,Räpina vald,5,20.2,10818,766,3835,63.91,209.32,78.84,117.17,65.16
Farmland,Rapla maakond,2000,Kehtna vald,6,16.1,24532,898,9587,192.7,319.56,255.57,255.51,46.03
Farmland,Tartu maakond,2000,Kambja vald,5,6.1,14399,639,4173,66.58,1800.33,528.2,697.68,650.53
Farmland,Tartu maakond,2000,Kastre vald,7,44.2,37708,639,12782,65.58,437.75,230.08,223.19,127.08
Farmland,Tartu maakond,2000,Tartu vald,15,30.5,97782,447,24798,120.18,2896.3,213.04,713.69,1075.61
Farmland,Viljandi maakond,2000,Viljandi vald,6,21.3,24467,819,8309,67.58,321.97,232.76,204.42,91.27
Farmland,Harju maakond,2001,Saue vald,5,13.2,56290,1598,19173,362.31,1436.8,654.83,797.83,403.1
Farmland,Hiiu maakond,2001,Hiiumaa vald,5,28.4,22342,719,13258,127.82,163.04,155.56,152.53,14.19
Farmland,Jõgeva maakond,2001,Jõgeva vald,13,16.2,33895,639,7030,66.85,318.94,201.61,191.62,94.11
Farmland,Jõgeva maakond,2001,Põltsamaa vald,20,23.2,128707,1917,15978,92.11,743.61,319.56,308.11,132.63
Farmland,Järva maakond,2001,Järva vald,25,17.0,117708,1278,12377,125.32,511.29,293.15,283.1,87.04
Farmland,Järva maakond,2001,Türi vald,22,14.9,95734,1278,9587,133.15,639.12,299.95,328.87,152.52
Farmland,Lääne maakond,2001,Lääne-Nigula vald,10,20.1,28493,463,7989,69.66,344.35,105.77,148.65,91.52
Farmland,Lääne-Viru maakond,2001,Tapa vald,6,24.8,30116,537,16388,76.69,326.58,209.33,215.43,88.03
Farmland,Lääne-Viru maakond,2001,Vinni vald,13,12.7,35954,959,6673,64.63,402.25,205.82,219.18,78.63
