"Indicator name";"indicator";"Country name";"country";"time";"value"
"Agricultural land";"FAO-6610-5110";"Guyana";"GUY";"1961";"1359"
"Agricultural land";"FAO-6610-5110";"Morocco";"MAR";"1961";"23370"
"Agricultural land";"FAO-6610-5110";"New Caledonia";"NCL";"1961";"261"
"Agricultural land";"FAO-6610-5110";"French Polynesia";"PYF";"1961";"44"
"Agricultural land";"FAO-6610-5110";"Syrian Arab Republic";"SYR";"1961";"14941"
"Agricultural land";"FAO-6610-5110";"Thailand";"THA";"1961";"11653"
"Agricultural land";"FAO-6610-5110";"Germany";"DEU";"1961";"19375"
"Agricultural land";"FAO-6610-5110";"Seychelles";"SYC";"1961";"5"
"Agricultural land";"FAO-6610-5110";"Fiji";"FJI";"1961";"227"
"Agricultural land";"FAO-6610-5110";"Wallis and Futuna Islands";"WLF";"1961";"4"
"Agricultural land";"FAO-6610-5110";"Ghana";"GHA";"1961";"11700"
"Agricultural land";"FAO-6610-5110";"Malaysia";"MYS";"1961";"3084.74"
"Agricultural land";"FAO-6610-5110";"Tokelau";"TKL";"1961";"0.3"
"Agricultural land";"FAO-6610-5110";"Denmark";"DNK";"1961";"3160"
"Agricultural land";"FAO-6610-5110";"India";"IND";"1961";"174952"
"Agricultural land";"FAO-6610-5110";"Liberia";"LBR";"1961";"2583"
"Agricultural land";"FAO-6610-5110";"Maldives";"MDV";"1961";"5"
"Agricultural land";"FAO-6610-5110";"Nepal";"NPL";"1961";"3553"
"Agricultural land";"FAO-6610-5110";"New Zealand";"NZL";"1961";"15777"
"Agricultural land";"FAO-6610-5110";"Yemen";"YEM";"1961";"23337"
"Agricultural land";"FAO-6610-5110";"Mali";"MLI";"1961";"31698"
"Agricultural land";"FAO-6610-5110";"Netherlands";"NLD";"1961";"2314"
"Agricultural land";"FAO-6610-5110";"Philippines";"PHL";"1961";"7713"
"Agricultural land";"FAO-6610-5110";"Brunei Darussalam";"BRN";"1961";"21"
"Agricultural land";"FAO-6610-5110";"Mauritius";"MUS";"1961";"99"
"Agricultural land";"FAO-6610-5110";"Cyprus";"CYP";"1961";"404"
"Agricultural land";"FAO-6610-5110";"Haiti";"HTI";"1961";"1660"
"Agricultural land";"FAO-6610-5110";"Norfolk Island";"NFK";"1961";"1"
"Agricultural land";"FAO-6610-5110";"Saint Pierre and Miquelon";"SPM";"1961";"3"
"Agricultural land";"FAO-6610-5110";"Sao Tome and Principe";"STP";"1961";"35"
"Agricultural land";"FAO-6610-5110";"Guinea-Bissau";"GNB";"1961";"1358"
"Agricultural land";"FAO-6610-5110";"Montserrat";"MSR";"1961";"5"
"Agricultural land";"FAO-6610-5110";"Qatar";"QAT";"1961";"51"
"Agricultural land";"FAO-6610-5110";"Tunisia";"TUN";"1961";"8648"
