land_type,county,year,region,number,average_area,total_volume_eur,price_min,price_max,price_per_unit_min,price_per_unit_max,price_per_unit_median,avg_price_eur,standard_deviation
Forest land,Harju maakond,2000,Kuusalu vald,6,8.6,48381,767,12782,105.35,3956.43,1413.89,1552.2,1483.23
Forest land,Hiiu maakond,2000,Hiiumaa vald,58,14.6,462239,639,100341,72.71,3195.58,428.84,600.39,579.16
Forest land,Ida-Viru maakond,2000,Alutaguse vald,16,19.2,335344,639,76694,104.77,1657.65,1064.94,901.74,560.77
Forest land,Ida-Viru maakond,2000,Jõhvi vald,5,8.9,20068,1087,12782,262.44,1445.11,409.56,624.32,498.9
Forest land,Ida-Viru maakond,2000,Narva-Jõesuu linn,5,39.8,74227,942,54325,103.74,1172.06,362.17,446.49,425.48
Forest land,Jõgeva maakond,2000,Jõgeva vald,47,12.4,505691,383,82599,133.99,4262.34,687.0,1033.58,931.4
Forest land,Jõgeva maakond,2000,Mustvee vald,9,15.3,97465,1278,41543,95.72,1597.79,508.38,628.75,434.66
Forest land,Jõgeva maakond,2000,Põltsamaa vald,11,12.6,139663,511,73233,63.91,1944.07,574.3,770.69,610.37
Forest land,Järva maakond,2000,Järva vald,40,12.5,485494,639,59116,72.63,4438.11,780.6,1142.17,1048.22
Forest land,Järva maakond,2000,Paide linn,8,13.8,55923,1917,12143,64.15,1864.09,861.04,828.37,577.88
Forest land,Järva maakond,2000,Türi vald,36,15.8,455051,383,52408,86.04,4128.66,796.37,995.37,856.28
Forest land,Lääne maakond,2000,Lääne-Nigula vald,33,13.6,243476,320,33873,89.84,1928.37,361.75,544.4,485.48
Forest land,Lääne-Viru maakond,2000,Haljala vald,8,13.6,116000,1278,44419,96.84,5238.04,701.85,1361.66,1691.72
Forest land,Lääne-Viru maakond,2000,Kadrina vald,10,10.3,106138,2473,31956,268.33,3102.51,785.11,1123.01,933.47
Forest land,Lääne-Viru maakond,2000,Tapa vald,17,11.7,283576,1278,52727,187.98,2662.98,1463.63,1351.2,602.68
Forest land,Lääne-Viru maakond,2000,Vinni vald,27,14.6,291703,639,35791,64.56,3423.84,722.12,874.23,757.98
Forest land,Lääne-Viru maakond,2000,Väike-Maarja vald,22,9.0,152749,320,12782,86.6,3957.38,817.39,1048.13,926.58
Forest land,Põlva maakond,2000,Kanepi vald,10,16.3,206077,639,66430,199.73,2662.98,1176.92,1179.9,663.34
Forest land,Põlva maakond,2000,Põlva vald,19,9.9,258842,959,76694,286.91,4588.53,1311.01,1567.7,1164.64
Forest land,Põlva maakond,2000,Räpina vald,8,7.6,25245,639,10865,112.78,766.94,338.06,366.55,246.31
Forest land,Pärnu maakond,2000,Lääneranna vald,17,21.1,163166,1150,28760,89.88,1111.51,650.95,549.19,299.37
Forest land,Pärnu maakond,2000,Põhja-Pärnumaa vald,26,19.8,279886,1917,38347,88.56,2166.5,611.3,693.13,567.94
Forest land,Pärnu maakond,2000,Pärnu linn,27,10.7,216100,760,28760,63.7,5530.82,617.08,915.68,1094.28
Forest land,Pärnu maakond,2000,Saarde vald,26,14.7,350261,479,102259,85.6,2434.73,722.88,932.31,671.2
Forest land,Pärnu maakond,2000,Tori vald,23,12.8,213942,320,44738,127.82,8119.45,601.52,1014.15,1630.0
Forest land,Rapla maakond,2000,Kehtna vald,12,16.2,110698,1598,19173,166.0,3022.85,522.07,858.52,838.39
Forest land,Rapla maakond,2000,Kohila vald,6,9.2,58799,2556,19173,407.95,2250.41,851.42,1151.17,759.4
Forest land,Rapla maakond,2000,Märjamaa vald,41,18.2,418587,639,45647,72.96,2192.51,537.23,580.11,436.18
Forest land,Rapla maakond,2000,Rapla vald,11,13.4,120282,1278,31956,193.09,2886.33,664.68,971.13,770.85
Forest land,Saare maakond,2000,Saaremaa vald,60,13.7,553926,799,127823,81.35,3060.9,548.11,707.64,532.36
Forest land,Tartu maakond,2000,Elva vald,7,13.1,38317,1278,7814,220.38,840.94,443.98,460.05,260.54
Forest land,Tartu maakond,2000,Kambja vald,5,4.1,12143,1278,3835,426.08,971.46,488.02,612.71,241.5
Forest land,Tartu maakond,2000,Kastre vald,6,4.5,15373,320,8309,133.15,913.02,464.07,466.88,323.35
Forest land,Tartu maakond,2000,Peipsiääre vald,13,6.9,68449,1214,15339,72.07,1826.05,665.75,839.77,480.9
Forest land,Tartu maakond,2000,Tartu vald,13,11.2,111518,639,37508,93.99,2662.99,530.39,827.4,669.07
Forest land,Valga maakond,2000,Tõrva vald,25,20.5,292755,639,86281,80.81,1753.67,379.08,597.77,530.2
Forest land,Valga maakond,2000,Valga vald,11,23.1,175437,2556,73498,245.81,1802.87,639.12,767.5,409.21
Forest land,Viljandi maakond,2000,Mulgi vald,20,28.5,423553,486,87431,63.91,1947.74,715.09,723.19,505.86
Forest land,Viljandi maakond,2000,Põhja-Sakala vald,24,10.6,357595,639,73914,67.56,8799.26,1077.35,1582.06,1849.3
Forest land,Viljandi maakond,2000,Viljandi vald,31,17.3,440725,447,129741,86.37,4231.59,613.55,810.13,887.35
